SN,uvw2start,uvw2end,uvm2start,uvm2end,uvw1start,uvw1end,ustart,uend,bstart,bend,vstart,vend
SN2005CS,53551.0,53560.1236,53551.8875,53562.3318,53551.0,53568.0266,53556.0,53573.053,53556.7861,53580.0,53551.8826,53627.9688
SN2006at,53804.0,53811.7738,53804.659,53815.7709,53804.6318,53826.7413,53804.6325,53822.8928,53804.633,53850.7679,53809.6377,53850.761
ASASSN-13co,56538.0,56550.5219,56538.0,56550.7554,56539.0,56555.6448,56539.0,56563.8563,56538.0,56585.0,56538.0,56585.0
ASASSN-14ha,56911.8555,56936.9758,56911.8589,56934.8566,56911.8503,56940.6389,56911.0,56956.0,56911.8538,56956.0,56911.8572,56955.558
PTF11qax,55869.0,55876.0,55867.0,55876.0,55867.0,55876.0,55869.0,55876.0,55869.0,55876.0,55869.1927,55875.681
SN2006bc,53822.0,53828.0,53821.0,53828.0,53822.0,53837.0,53822.0,53836.0,53822.0,53836.0,53822.1285,53836.0
SN2007od,54409.0,54427.6373,54409.0,54427.64,54409.0,54438.2122,54409.0,54438.2138,54409.0,54473.0,54409.0,54473.0
SN2008aw,54528.0,54579.8139,54528.0,54579.7183,54528.0,54579.5802,54528.0,54579.5811,54528.0,54580.0,54528.0,54580.0
SN2008ij,54823.0,54862.6429,54823.0,54852.8187,54823.4807,54856.6289,54823.4819,54876.0572,54823.4827,54876.7611,54823.4866,54876.0547
SN2008M,54493.0,54502.0,54493.0,54499.1554,54493.0,54502.0,54493.0,54502.0,54493.0,54502.0,54493.0,54502.0
SN2009at,54906.0,54912.0,54906.0,54912.0,54906.0,54912.0,54906.0,54912.0,54906.0,54912.0,54906.0,54912.0
SN2009dd,54936.0,55053.0869,54936.0,55090.1987,54936.0,54946.229,54936.0,55017.142,54936.6215,55018.0,54936.6262,55017.1448
SN2010F,55211.0,55236.6,55211.5145,55265.28,55211.0,55240.3774,55214.7542,55250.7471,55211.5044,55265.2749,55211.5102,55265.2777
SN2012A,55937.0,55947.0,55937.0,55947.0,55937.0,55948.0,55936.8058,55946.782,55937.1023,55947.0,55936.0,55946.7854
SN2013ak,56362.0,56382.5872,56362.0,56372.9361,56362.0,56398.7337,56365.4399,56398.735,56370.5362,56398.7391,56366.1168,56398.7356
SN2013am,56373.0,56380.329,56373.0,56376.0,56373.0,56383.0,56373.0,56390.3916,56375.3139,56400.6868,56375.3186,56400.6906
SN2013ej,56503.0,56531.7416,56503.9812,56531.746,56503.9731,56527.1389,56508.8969,56541.4073,56511.9819,56581.7886,56503.9787,56609.6838
SN2014cx,56902.9956,56928.6006,56903.0019,56924.7155,56902.9908,56941.2667,56912.9105,56952.7026,56909.0914,56952.7029,56902.998,56954.5986
SN2015as,57342.0,57349.0,57342.0,57349.0,57342.0,57349.0,57342.0,57349.0,57342.0,57349.0,57342.0,57349.0
SN2016aqf,57445.0,57465.3948,57445.0,57465.3973,57445.0,57467.2824,57445.1551,57480.0,57445.6899,57480.0,57445.1608,57479.5603
SN2016B,57391.0,57406.0,57391.0453,57404.0,57391.0,57406.0,57391.0,57406.0,57391.0,57406.0,57391.0381,57404.0
SN2016blz,57495.0,57513.7107,57495.0,57516.7488,57495.0,57522.9747,57495.0,57525.7736,57495.0,57526.0,57495.0,57525.7791
SN2016cqj,57551.0,57557.0,57551.0,57557.0,57551.0,57557.0,57551.0,57557.0,57551.0,57557.0,57551.0,57557.0
SN2016gfy,57646.0,57662.1062,57646.0,57662.11,57646.0,57663.7645,57646.0,57668.0,57647.3766,57667.945,57646.0,57668.0
SN2017eaw,57887.5955,57918.8509,57887.6034,57918.8533,57887.5907,57962.6147,57897.548,57962.6166,57897.5497,57920.0,57890.0,58004.6875
SN2018is,58134.0,58143.0,58134.0,58143.0,58134.0,58143.0,58134.0,58143.0,58134.0,58143.0,58134.0,58143.0
SN2018ivc,58446.0,58448.0,58446.0,58453.0,58446.0,58453.0,58447.0,58463.0,58447.0,58463.0,58447.0,58463.0
SN2013by,56406.0,56447.5957,56406.0,56438.6241,56406.0,56472.0393,56406.8689,56480.8481,56406.8699,56484.9307,56421.9078,56464.2245
SN2013fs,56572.0031,57583.5231,56572.0089,56593.1479,56571.9913,56595.5703,56574.9779,57583.5207,56574.9788,57583.5215,56574.949,57583.5252
SN2009kr,54667.3676,55158.4203,55144.0,55158.4235,55144.0,55165.0,55144.6894,55177.0,55144.691,55201.0,55144.7007,55201.0
PS15cwo,57342.0,57355.3437,57342.0,57355.3487,57342.0,57361.5833,57342.0,57367.5552,57342.0,57386.0,57342.0,57386.0
SN2006bp,53835.5824,53856.6316,53835.592,53853.1751,53837.5508,53859.3119,53848.2299,53877.5281,53842.7825,53885.4985,53840.7812,53886.0
SN2008in,54830.0,54850.802,54830.0,54884.7284,54830.0,54884.7267,54830.0,54884.727,54830.0,54885.0,54830.0,54885.0
SN2009N,54858.0,54866.6522,54858.0,54863.2823,54830.3381,54884.7267,54858.0,54906.8389,54858.0,54906.8469,54858.0,54907.0
SN2013ab,56344.0,56371.4726,56344.0,56368.7151,56344.0,56382.888,56344.4662,56382.8899,56344.0,56442.4509,56344.4689,56442.4551
SN2016C,57392.0,57401.0,57392.0,57401.0,57392.0,57401.0,57392.0,57401.0,57392.0,57401.0,57392.0,57401.0
SN2016cok,57536.0,57546.0986,57536.0,57541.9785,57536.0,57547.6688,57536.0,57554.0,57536.0,57554.0,57536.0,57554.0
SN2016X,57408.1183,57439.7994,57409.455,57441.6236,57408.1135,57439.7967,57410.1905,57448.771,57412.5036,57453.0,57412.5062,57453.0
